conceito,eixo,etapa projetual,dimensão,explicação,palavras-chave,fonte,Indicador e Rubrica Simplificados (Metodologia SMART)
Atualização da EBIA e Indicadores de SAN,técnica,"coleta de dados, análise de impacto",técnica,"Versões ou reformulações da Escala Brasileira de Segurança Alimentar e Nutricional - Escala Hídrica, Escala Indígena. Indicadores que precisam ser reavaliados - questões ambientais, mudanças climáticas extremas (ex.: enchentes e secas; insegurança hídrica), olhar para territórios urbanos e rurais, questoes etnico-raciais, indicadores secundários da área da saúde","EBIA, TRIA, CadSAN (CadÚnico), EBIA Indígena",especialista B,"- Específico: Desenvolver e atualizar versões da Escala Brasileira de SAN (EBIA). 
- Mensurável: Reformulações realizadas na Escala Brasileira de SAN (EBIA). 
- Orientado a Resultados: Aprimoramento dos indicadores, com inclusão das questões ambientais, mudanças climáticas extremas (ex.: enchentes e secas; insegurança hídrica), acompanhamento dos territórios urbanos e rurais, questoes etnico-raciais, e indicadores secundários da área da saúde. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
Automatização dos dados,técnica,design da plataforma,técnica,"Automatizam a coleta de dados com scripts prontos, conectando sistemas com ETL ou APIs, como o Geosampa, para facilitar atualizações diretas.",automatização; ETL; APIs,especialista C ,"- Específico: Implementar ferramentas de automação como scripts, APIs e processos de ETL para otimizar a coleta e integração de dados. Facilitar a análise em tempo real e reduzir atrasos operacionais.
- Mensurável: Quantidade de processos automatizados e tempo reduzido na coleta de dados.
- Orientado a Resultados: Aumentar a eficiência operacional e a qualidade dos dados disponíveis para análises.
- Período de Avaliação: Monitoramento semestral das ferramentas implementadas.
"
Conexão entre indicadores de saúde e alimentação,contexto e significado,coleta de dados,"social, técnica","Relacionar o estado nutricional das crianças com políticas sociais (ex.: bolsa família). Bases como SISVAN, Datasus e CRIA são fundamentais, mas enfrentam desafios operacionais e de acessibilidade.",indicadores de saúde; alimentação; SISVAN,especialista A,"- Específico: Criar indicadores que relacionem diretamente a saúde e a alimentação, permitindo análises integradas entre condições nutricionais e doenças associadas. 
- Mensurável: Número de indicadores criados e frequência de relatórios de análise integrada. 
- Orientado a Resultados: Subsidiar políticas de saúde e alimentação baseadas em dados integrados. 
- Período de Avaliação: Relatórios trimestrais com revisões anuais. "
"Construção de um sistema de indicadores, ações e resultados para SAN",Dimensão VII (SAN) - programas e ações relacionadas à SAN,"design da plataforma, revisão contínua da plataforma",técnica,"Ter informação qualificada, ter indicadores que a gente possa comparar, mensurar as diferentes dimensões da SAN, ter indicadores oficiais, periódicos e regulares; ter informações desagregadas para conseguir enxergar o acesso desigual alimentação, especialmente da alimentação adequada e saudável para os diferentes grupos e diferentes territórios","Indicadores, alimentação, território, MUNIC, IBGE, Brasil sem Fome",especialista D,"- Específico: Criar indicadores operacionais que ajudem a avaliar e monitorar a SAN no âmbito local.
- Mensurável: Número de indicadores implementados e relatórios de desempenho gerados. 
- Orientado a Resultados: Fornecer subsídios baseados em evidências para o aprimoramento de políticas públicas de SAN. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
Contribuições do uso da EBIA e da TRIA para coleta de dados sobre SAN,contexto e significado,"coleta de dados, design da plataforma",contexto e significado,"A EBIA mensura acesso aos alimentos no domicílio,  mede inicialmente a situação da família, outros indicadores ajudariam a dar mais profundidade ao contexto (ex.: raça e gênero). A TRIA mensura o risco de IAN. Lacunas: mensuração de IAN de crianças,  LGBTQIA +","EBIA, TRIA, indicadores de SAN, diferentes contextos",especialista B,"- Específico: Utilizar instrumentos validado de SAN, para medir a situação de SAN ou o risco, do domicílio e dos indivíduos. 
- Mensurável: Uso de instrumentos alidado de SAN, para medir a situação de SAN ou risco, do domicílio e dos indivíduos (ex.: EBIA, TRIA). 
- Orientado a Resultados: Mmonitoramento e vigilância da situação individual e domiciliar de SAN nos territórios, em diferentes contextos (ex.: raça e gênero, crianças,  LGBTQIA +). 
- Período de Avaliação: Monitoramento e avaliações anuais. "
Desafio a mais em questão de SAN,contexto e significado,"coleta de dados, articulação institucional",contexto e significado,"Aumento da situação de fome nas cidades, eventos climáticos extremos, desigualdades sociais que acirram classe, raça e gênero (interseccionalidade)","TRIA, indicador municipalizado de risco em SAN, redesenho de políticas públicas, monitoramento de IAN em centros urbanos",especialista D,"- Específico: Criar indicadores locais que monitorem a situação alimentar nas cidades, permitindo análises integradas e mais precisas sobre os impactos dos eventos climáticos extremos. 
- Mensurável: Número de indicadores criados e frequência de relatórios de análise integrada. 
- Orientado a Resultados: Subsidiar políticas de SAN em dados integrados. 
- Período de Avaliação: Relatórios trimestrais com revisões anuais. "
Desafios administrativos e políticos,representatividade,"design da plataforma, coleta de dados","técnica, política","As bases administrativas são frequentemente caóticas, com dificuldades de compatibilização entre sistemas como TRIA e CAD Único. A cooperação técnica entre diferentes níveis governamentais é essencial para superar essas barreiras.",desafios políticos; cooperação técnica; bases administrativas,especialista A,"- Específico: Identificar e documentar desafios administrativos e políticos que impactam a implementação de políticas de SAN, propondo soluções para enfrentá-los. 
- Mensurável: Quantidade de desafios identificados e soluções implementadas com sucesso. 
- Orientado a Resultados: Reduzir barreiras na execução de políticas de SAN e melhorar os processos administrativos. 
- Período de Avaliação: Revisões anuais dos principais desafios e progressos realizados. "
Dimensões de dados,contexto e significado,coleta de dados,"social, territorial","Utilizam bases federais, estaduais e municipais, sintetizam indicadores sociais (IBGE), e seguem diretrizes e legislações específicas para direcionar a análise.",bases de dados; indicadores sociais; IBGE,especialista C ,"- Específico: Incorporar dados federais, estaduais e municipais, considerando aspectos sociais e territoriais para enriquecer análises e relatórios. Garantir a integração de indicadores de diferentes níveis governamentais.
- Mensurável: Número de bases integradas e indicadores sociais usados em análises.
- Orientado a Resultados: Melhorar a representatividade e a utilidade dos dados para apoiar decisões políticas.
- Período de Avaliação: Relatórios anuais com análise de qualidade das integrações realizadas.
"
Educação permanente para gestores em SAN,representatividade,capacitação de gestores,"social, técnica","Oferecer indicadores administrativos atualizados e operacionais, entender o funcionamento de subsistemas como SISVAN e CAD Único, e capacitar gestores sobre os limites e viés dos dados disponíveis.",educação permanente; capacitação; vigilância em SAN,especialista A,"- Específico: Desenvolver programas de educação permanente voltados para gestores de SAN, com foco em atualizações técnicas e boas práticas. 
- Mensurável: Número de gestores capacitados e avaliação de satisfação dos participantes. 
- Orientado a Resultados: Melhorar a gestão e implementação de programas de SAN através da capacitação contínua. 
- Período de Avaliação: Relatórios anuais de impacto das capacitações realizadas. "
Elaboração do observatório,representatividade,"design da plataforma, oficinas participativas","social, interseccional","Criado pelo comitê intersecretarial de indicadores, por meio de oficinas e grupos de trabalho. Apoiado na lei 14.173 para reforçar a participação voluntária dos munícipes na avaliação dos serviços públicos.",participação voluntária; oficinas participativas,especialista C ,"- Específico: Desenvolver o observatório em colaboração com o comitê intersecretarial, garantindo a participação ativa de voluntários e integração de indicadores relevantes. Promover oficinas participativas para refinar objetivos e ações.
- Mensurável: Número de indicadores integrados e oficinas realizadas com participantes engajados.
- Orientado a Resultados: Criar uma plataforma eficaz e inclusiva para apoiar políticas públicas e decisões estratégicas.
- Período de Avaliação: Revisões semestrais de progresso e relatórios anuais."
