Indicador,Indicador (descrição),Temas,Regionalizado por,Responsável,Interessado,Variável,Variável (descrição),Fonte checada,Forma de obtenção
19,População total,População ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SGM,V0001,População total,Seade,SEADE
27,Alunos da rede municipal de ensino do sexo feminino (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0008,Alunos rede municipal - sexo feminino,SME,Dados Abertos
27,Alunos da rede municipal de ensino do sexo feminino (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
28,Alunos da rede municipal de ensino do sexo masculino (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0010,Alunos rede municipal - sexo masculino,SME,Dados Abertos
28,Alunos da rede municipal de ensino do sexo masculino (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
29,Taxa de Universalização da Educação Básica obrigatória (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0011,População - 4 a 17 anos,Seade,SEADE
29,Taxa de Universalização da Educação Básica obrigatória (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0012,Matrículas - ensino básico redes pública e privada,Inep,Inep
31,04.01.02 Alunos por turma do ensino fundamental da rede municipal,"Educação, ODS São Paulo",   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0014,Turmas Ensino Fundamental da rede municipal,SME,Dados Abertos
31,04.01.02 Alunos por turma do ensino fundamental da rede municipal,"Educação, ODS São Paulo",   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0015,Matrículas - ensino fundamental rede municipal,SME/DIE,Dados Abertos
32,03.02.01 Taxa de mortalidade infantil (por mil nascidos vivos),"ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0016,Número de óbitos menores de 1 ano de idade,SIM, Envio da secretaria
32,03.02.01 Taxa de mortalidade infantil (por mil nascidos vivos),"ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0017,Número de nascidos vivos,SINASC,Envio da secretaria
33,População em idade ativa,População ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SMDET,V0723,População em idade ativa,Seade,SEADE
35,População de 0 a 17 anos,População ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SGM,V0018,População - 0 a 17 anos,Seade,SEADE
36,População em idade escolar - 0 a 3 anos,População ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),CAGI,SME,V0005,População - 0 a 3 anos,Seade,SEADE
37,Taxa de Universalização da Educação Infantil (somente creche) (%),Educação,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0007,Matrículas - creches todas as redes,Inep,Inep
37,Taxa de Universalização da Educação Infantil (somente creche) (%),Educação,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0005,População - 0 a 3 anos,Seade,SEADE
38,Razão de mamografias bilaterais na população feminina de 50 a 69 anos de idade (por 100 mulheres na mesma faixa etária),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0019,Metade (50%) da população feminina - 50 a 69 anos,Seade,SEADE
38,Razão de mamografias bilaterais na população feminina de 50 a 69 anos de idade (por 100 mulheres na mesma faixa etária),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0020,Número de mamografias bilaterais na população feminina de 50 a 69 anos de idade	,SISMAMA,Envio da Secretaria
41,04.02.03 Alunos por turma da creche da rede pública municipal,"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0021,Matrículas - creches rede municipal e conveniada,SME/DIE,Dados Abertos
41,04.02.03 Alunos por turma da creche da rede pública municipal,"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0022,Turmas em creches da rede municipal e conveniada,SME,Dados Abertos
